trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
1.30,-73.981979370117187,40.774627685546875,-73.974647521972656,40.760700225830078,12.25
2.20,-73.962181091308594,40.766429901123047,-73.9884033203125,40.752769470214844,18.96
1.03,-73.99163818359375,40.729518890380859,-73.987632751464844,40.71990966796875,10.56
1.20,-73.979286193847656,40.787059783935547,-73.982246398925781,40.772026062011719,10.55
1.50,-73.977081298828125,40.779991149902344,-73.981491088867187,40.763477325439453,12.95
1.60,-73.982673645019531,40.767986297607422,-73.973556518554688,40.752090454101563,14.75
1.83,-73.988433837890625,40.774257659912109,-73.959175109863281,40.763660430908203,15.34
2.30,-73.978706359863281,40.741096496582031,-73.994667053222656,40.760860443115234,13.8
1.40,-73.94818115234375,40.772140502929688,-73.967636108398438,40.768562316894531,12.96
3.50,-74.008087158203125,40.739009857177734,-73.981193542480469,40.765983581542969,17.3
1.40,-73.990646362304687,40.765895843505859,-73.991867065429688,40.749454498291016,12.05
2.20,-73.954879760742187,40.777568817138672,-73.938713073730469,40.805027008056641,11.3
1.30,-73.961982727050781,40.759452819824219,-73.956382751464844,40.775783538818359,11.3
1.16,-73.978843688964844,40.750415802001953,-73.968910217285156,40.764171600341797,10.56
1.38,-73.953857421875,40.822040557861328,-73.948097229003906,40.806331634521484,10.56
2.50,-73.949180603027344,40.714046478271484,-73.952476501464844,40.689029693603516,15.3
1.00,-73.990921020507812,40.760890960693359,-73.985359191894531,40.768745422363281,11.15
1.10,-73.98260498046875,40.731189727783203,-73.980766296386719,40.744350433349609,11.6
1.90,-73.988037109375,40.728099822998047,-74.008255004882813,40.718906402587891,11.8
1.20,-73.956085205078125,40.767890930175781,-73.958221435546875,40.780654907226563,10.35
1.50,-73.992347717285156,40.742702484130859,-73.975898742675781,40.755096435546875,11.76
1.50,-74.000938415527344,40.731578826904297,-73.986030578613281,40.740756988525391,10.8
2.10,-73.989105224609375,40.736713409423828,-74.001632690429687,40.714984893798828,14.15
1.60,-73.992759704589844,40.723800659179688,-73.978691101074219,40.744941711425781,10.8
1.11,-73.980308532714844,40.735221862792969,-73.989021301269531,40.743991851806641,10.3
1.58,-73.95648193359375,40.768089294433594,-73.979843139648438,40.771068572998047,14.16
2.00,-73.977981567382812,40.752548217773438,-73.955589294433594,40.764156341552734,11.3
1.30,-73.975227355957031,40.752105712890625,-73.96142578125,40.760452270507813,11.75
1.33,-73.977447509765625,40.741428375244141,-73.979705810546875,40.755306243896484,14.16
1.40,-73.953941345214844,40.784648895263672,-73.969627380371094,40.796295166015625,11.16
1.20,-73.991081237792969,40.750511169433594,-73.975967407226562,40.754955291748047,11.75
3.69,-74.012626647949219,40.706611633300781,-74.006782531738281,40.75286865234375,14.8
1.20,-73.953834533691406,40.822059631347656,-73.966270446777344,40.806503295898437,11.6
.87,-73.972328186035156,40.759395599365234,-73.980804443359375,40.765735626220703,12.36
.70,-73.981033325195313,40.764209747314453,-73.99072265625,40.770149230957031,10.1
1.52,-73.982879638671875,40.739578247070313,-73.983955383300781,40.755290985107422,12.8
1.74,-73.99810791015625,40.751750946044922,-73.990547180175781,40.771610260009766,13.56
2.90,-73.95361328125,40.779354095458984,-73.963264465332031,40.808734893798828,18.5
1.07,-73.994102478027344,40.751171112060547,-73.979949951171875,40.752208709716797,13.8
1.30,-73.970123291015625,40.761280059814453,-73.988395690917969,40.770782470703125,15.95
2.74,-73.997047424316406,40.725509643554688,-73.971382141113281,40.755661010742187,18.3
2.49,-73.958175659179688,40.773109436035156,-73.981025695800781,40.751651763916016,15.3
1.06,-73.965377807617187,40.763160705566406,-73.971397399902344,40.751041412353516,10.79
1.30,-73.982452392578125,40.743476867675781,-73.978866577148438,40.758373260498047,14.75
1.98,-73.982383728027344,40.72113037109375,-73.9932861328125,40.738471984863281,14.16
1.17,-73.9837646484375,40.769630432128906,-73.971847534179687,40.760272979736328,10.3
2.30,-73.979316711425781,40.755626678466797,-74.004219055175781,40.735366821289063,14.76
3.16,-74.00775146484375,40.732219696044922,-73.976356506347656,40.761638641357422,19.3
1.31,-73.981979370117187,40.743350982666016,-73.971427917480469,40.757621765136719,10.3
2.10,-73.983291625976562,40.761165618896484,-73.99041748046875,40.737018585205078,11.8
2.27,-73.956924438476563,40.777633666992188,-73.980194091796875,40.755775451660156,17.16
1.93,-74.005332946777344,40.739631652832031,-74.006019592285156,40.714469909667969,13.5
5.71,-73.934791564941406,40.801177978515625,-73.977630615234375,40.736507415771484,18.8
3.26,-74.003448486328125,40.748741149902344,-73.966896057128906,40.769435882568359,16.8
1.78,-73.979591369628906,40.752948760986328,-73.989112854003906,40.7711181640625,12.3
1.00,-73.977508544921875,40.741355895996094,-73.987274169921875,40.750522613525391,10.55
1.70,-73.962631225585937,40.7755126953125,-73.974952697753906,40.754531860351563,15.35
.70,-73.958442687988281,40.762325286865234,-73.967536926269531,40.762935638427734,11.3
2.50,-73.946365356445313,40.777137756347656,-73.979911804199219,40.775890350341797,11.8
2.26,-73.974128723144531,40.783100128173828,-73.964256286621094,40.807369232177734,10.8
1.98,-73.970283508300781,40.762599945068359,-73.948089599609375,40.778709411621094,12.36
1.69,-73.967109680175781,40.757476806640625,-73.961235046386719,40.775997161865234,15.96
2.30,-73.972885131835938,40.793346405029297,-73.975509643554688,40.764457702636719,15.3
1.10,-73.978340148925781,40.748542785644531,-73.972763061523438,40.762535095214844,14.75
